Flight_number,Flight_origin,Aircraft_number,Airline_name,Airline_code,Current_distance,Current_flight_speed,Timetabled_arrival_time
FN1815,Sydney,AC193,Airline D,DA,8443,897,23:24
FN4561,New York,AC274,Airline D,DA,2200,541,10:26
FN2974,Sydney,AC324,Airline D,BA,8526,866,03:50
FN6276,Sydney,AC126,Airline A,CA,2407,437,09:52
FN5704,London,AC104,Airline D,EA,3470,816,08:29
FN5453,Sydney,AC498,Airline D,BA,6357,497,03:51
FN7536,Paris,AC445,Airline C,BA,9236,459,16:09
FN2454,Tokyo,AC161,Airline E,EA,5358,735,08:35
FN6705,Tokyo,AC214,Airline D,AA,2732,405,03:48
FN8825,New York,AC120,Airline B,DA,823,615,13:46
FN2835,Dubai,AC353,Airline B,DA,1111,488,02:43
FN6016,New York,AC465,Airline A,BA,594,864,04:48
FN4319,Paris,AC487,Airline A,BA,7526,635,06:09
FN3003,Dubai,AC266,Airline D,EA,5989,890,21:52
FN7423,New York,AC462,Airline A,CA,3558,464,22:38
FN1049,London,AC363,Airline E,EA,795,883,20:31
FN6391,Singapore,AC452,Airline C,CA,7258,583,23:45
FN6343,Dubai,AC371,Airline A,BA,3026,438,20:27
FN3778,Sydney,AC181,Airline D,AA,5674,634,21:43
FN8956,Tokyo,AC282,Airline C,CA,3516,825,08:51
FN4103,Singapore,AC180,Airline A,EA,8810,781,11:36
FN2342,London,AC260,Airline D,DA,4431,535,08:15
FN9075,Singapore,AC303,Airline A,DA,8780,404,19:02
FN6651,Tokyo,AC181,Airline A,BA,4692,582,23:07
FN5869,Tokyo,AC214,Airline D,BA,7925,406,03:51
FN1448,Singapore,AC132,Airline D,EA,1916,656,04:18
FN9241,Sydney,AC348,Airline D,AA,581,546,08:49
FN9880,London,AC163,Airline D,EA,4440,518,08:53
FN8423,New York,AC199,Airline C,DA,1247,583,22:17
FN1164,New York,AC286,Airline C,EA,4694,868,00:06
FN8778,Dubai,AC126,Airline C,CA,5191,562,13:16
FN6721,Tokyo,AC432,Airline E,DA,626,582,05:58
FN8298,Dubai,AC160,Airline A,BA,2175,426,17:43
FN6620,Dubai,AC325,Airline E,CA,2807,536,02:02
FN1249,Paris,AC385,Airline C,BA,6728,564,05:39
FN9794,Tokyo,AC310,Airline B,AA,7985,461,23:57
FN1389,Singapore,AC166,Airline A,CA,1438,677,18:20
FN9035,Tokyo,AC105,Airline C,DA,2871,607,05:56
FN6743,Singapore,AC262,Airline A,AA,7666,593,22:38
FN9824,Dubai,AC232,Airline B,CA,1401,788,18:09
FN8892,Sydney,AC221,Airline D,CA,6671,824,10:14
FN6086,Dubai,AC244,Airline B,DA,3556,841,19:05
FN3290,Sydney,AC225,Airline E,BA,5377,441,11:02
FN9994,Sydney,AC453,Airline C,BA,6001,469,14:55
FN9035,Tokyo,AC133,Airline B,DA,2116,898,12:03
FN3229,Sydney,AC476,Airline B,BA,820,704,11:16
FN9688,New York,AC165,Airline A,EA,3132,676,15:21
FN3824,Paris,AC107,Airline D,EA,6216,610,18:54
FN8624,New York,AC177,Airline A,DA,5750,425,03:05
FN3002,New York,AC490,Airline C,EA,8027,517,06:32
FN2160,Sydney,AC493,Airline B,CA,9258,821,10:12
FN9487,Sydney,AC273,Airline B,CA,3945,468,22:16
FN5113,London,AC312,Airline C,EA,1742,471,00:08
FN8230,Paris,AC104,Airline C,AA,2958,852,04:31
FN6142,New York,AC147,Airline E,EA,8767,803,10:40
FN7343,Paris,AC275,Airline E,DA,7864,691,19:24
FN8257,Sydney,AC199,Airline B,DA,1123,791,08:14
FN6472,New York,AC407,Airline A,EA,8458,745,10:40
